id,port,requesttime,browser,emailid,training,password,packet
1,59662,1548793568,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",Caleb365,1,1,P1
2,60284,1548884921,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0,RyanAGAIN,1,1,P10
3,14741,1548899498,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935P Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 Snapchat/10.49.0.0 (SM-G935P; Android 8.0.0#G935PVPS8CSA1#26; gzip)",em26554,1,0,P10
4,43258,1548899628,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G950U Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/72.0.3626.76 Mobile Safari/537.36 Snapchat/10.49.0.0 (SM-G950U; Android 8.0.0#G950USQU5CSA4#26; gzip)",em26554,1,1,P10
5,4082,1548993710,Mozilla/5.0 (Android 8.0.0; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,sitecheck,1,0,P120
6,52003,1549062021,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",studio,1,1,P10
7,52007,1549062038,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",studio,1,1,P10
8,52020,1549062047,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",studio,2,0,P10
9,52022,1549062056,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",studio,3,0,P10
10,61782,1549172488,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,saturdaytest,1,1,P10
11,48606,1549222936,Mozilla/5.0 (Android 8.0.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,testforryan,2,1,P999
12,32391,1549228466,Mozilla/5.0 (Android 8.0.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,testforryan,1,0,P999
13,38733,1549228473,Mozilla/5.0 (Android 8.0.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,testforryan,3,0,P999
14,61660,1549255061,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,rstepCannon1,1,1,P1
15,62327,1549269495,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,a876e5a4-b786-44a0-9e79-76e2b126a8d4,0,1,P1
16,43188,1549281084,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G960U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36",068be65b-ea32-466a-ab64-5e3561280092,0,1,P1
17,51040,1549285187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",4b82d79d-ef2d-4b14-9f47-7b0c7c7c2687,0,1,P1
18,51872,1549290845,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",17531af2-a764-4897-a39e-c4fa30052f8a,0,1,P1
19,27937,1549291434,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G965U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.76 Mobile Safari/537.36",f1c140b6-252b-4fc1-b728-63a5b1a8ec47,0,0,P2
